id,full_name,honorific,gender,party,photo_url,bio,education,date_of_birth,wikipedia_url,source_url,confidence,data_status,last_verified_at
17,Lalan Singh,Shri,male,JD(U),,"Cabinet Minister; also Fisheries, Animal Husbandry & Dairying",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
18,Sarbananda Sonowal,Shri,male,BJP,,"Cabinet Minister, Ports/Shipping/Waterways",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
19,Virendra Kumar,Shri,male,BJP,,"Cabinet Minister, Social Justice & Empowerment",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
20,Kinjarapu Ram Mohan Naidu,Shri,male,TDP,,"Cabinet Minister, Civil Aviation",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
21,Pralhad Joshi,Shri,male,Bharatiya Janata Party,,"Union Cabinet Minister — Education (additional charge); Consumer Affairs, Food and Public Distribution; New and Renewable Energy",,1962-11-27,https://en.wikipedia.org/wiki/Pralhad_Joshi,https://www.thehindu.com/news/national/pralhad-joshi-appointed-union-education-minister/article71266932.ece,0.90,verified,2026-07-25
22,Jual Oram,Shri,male,BJP,,"Cabinet Minister, Tribal Affairs",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
23,Giriraj Singh,Shri,male,BJP,,"Cabinet Minister, Textiles",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
24,Jyotiraditya Scindia,Shri,male,BJP,,Cabinet Minister; also Development of North Eastern Region,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
25,Bhupender Yadav,Shri,male,BJP,,"Cabinet Minister, Environment/Forest/Climate",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
26,Gajendra Singh Shekhawat,Shri,male,BJP,,Cabinet Minister; also Tourism,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
27,Annpurna Devi,Smt,female,BJP,,"Cabinet Minister, Women & Child Development",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
28,Kiren Rijiju,Shri,male,BJP,,Cabinet Minister; also Minority Affairs,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
29,Hardeep Singh Puri,Shri,male,BJP,,"Cabinet Minister, Petroleum & Natural Gas",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
30,Mansukh Mandaviya,Shri,male,BJP,,Cabinet Minister; also Youth Affairs & Sports,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
31,G. Kishan Reddy,Shri,male,BJP,,Cabinet Minister; also Mines,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
32,Chirag Paswan,Shri,male,LJP(RV),,"Cabinet Minister, Food Processing Industries",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
33,C. R. Patil,Shri,male,BJP,,"Cabinet Minister, Jal Shakti",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
34,Rao Inderjit Singh,Shri,male,BJP,,MoS (IC); also Planning,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
35,Jitendra Singh,Dr,male,BJP,,"MoS (IC); also Earth Sciences, PMO, DoPT, Space, Atomic Energy",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
36,Arjun Ram Meghwal,Shri,male,BJP,,"MoS (IC), Law & Justice; also Parliamentary Affairs",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
37,Prataprao Ganpatrao Jadhav,Shri,male,SHS,,"MoS (IC), AYUSH; also Health & Family Welfare",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
38,Jayant Chaudhary,Shri,male,RLD,,MoS (IC); also Education,,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
39,L. Murugan,Shri,male,BJP,,"MoS, Information & Broadcasting; also Fisheries, Animal Husbandry & Dairying",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
40,Anupriya Patel,Smt,female,AD(S),,"MoS, Health & Family Welfare; also Chemicals & Fertilizers",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
41,Sukanta Majumdar,Shri,male,BJP,,"MoS, Education; also Development of North Eastern Region",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
42,Jitin Prasada,Shri,male,BJP,,"MoS, Commerce & Industry; also Electronics & IT",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
43,Shripad Yesso Naik,Shri,male,BJP,,"MoS, Power; also New & Renewable Energy",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
44,Pankaj Chaudhary,Shri,male,BJP,,"MoS, Finance",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
45,Krishan Pal Gurjar,Shri,male,BJP,,"MoS, Co-operation",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
46,Ramdas Athawale,Shri,male,RPI(A),,"MoS, Social Justice & Empowerment",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
47,Ram Nath Thakur,Shri,male,JD(U),,"MoS, Agriculture & Farmers Welfare",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
48,Nityanand Rai,Shri,male,BJP,,"MoS, Home Affairs",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
49,V. Somanna,Shri,male,BJP,,"MoS, Jal Shakti; also Railways",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
50,Pemmasani Chandra Sekhar,Shri,male,TDP,,"MoS, Rural Development; also Communications",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
51,S. P. Singh Baghel,Shri,male,BJP,,"MoS, Fisheries, Animal Husbandry & Dairying; also Panchayati Raj",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
52,Shobha Karandlaje,Smt,female,BJP,,"MoS, MSME; also Labour & Employment",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
53,Kirti Vardhan Singh,Shri,male,BJP,,"MoS, Environment, Forest & Climate Change; also External Affairs",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
54,B. L. Verma,Shri,male,BJP,,"MoS, Consumer Affairs, Food & PD; also Social Justice",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
55,Shantanu Thakur,Shri,male,BJP,,"MoS, Ports, Shipping & Waterways",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
56,Suresh Gopi,Shri,male,BJP,,"MoS, Petroleum & Natural Gas; also Tourism",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
57,Ajay Tamta,Shri,male,BJP,,"MoS, Road Transport & Highways",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
58,Bandi Sanjay Kumar,Shri,male,BJP,,"MoS, Home Affairs",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
59,Kamlesh Paswan,Shri,male,BJP,,"MoS, Rural Development",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
60,Bhagirath Choudhary,Shri,male,BJP,,"MoS, Agriculture & Farmers Welfare",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
61,Satish Chandra Dubey,Shri,male,BJP,,"MoS, Coal; also Mines",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
62,Sanjay Seth,Shri,male,BJP,,"MoS, Defence",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
63,Ravneet Singh Bittu,Shri,male,BJP,,"MoS, Food Processing Industries; also Railways",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
64,Durga Das Uikey,Shri,male,BJP,,"MoS, Tribal Affairs",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
65,Raksha Khadse,Smt,female,BJP,,"MoS, Youth Affairs & Sports",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
66,Savitri Thakur,Smt,female,BJP,,"MoS, Women & Child Development",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
67,Tokhan Sahu,Shri,male,BJP,,"MoS, Housing & Urban Affairs",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
68,Bhupathi Raju Srinivasa Varma,Shri,male,BJP,,"MoS, Heavy Industries; also Steel",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
69,Harsh Malhotra,Shri,male,BJP,,"MoS, Corporate Affairs; also Road Transport & Highways",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
70,Murlidhar Mohol,Shri,male,BJP,,"MoS, Civil Aviation; also Co-operation",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
71,George Kurian,Shri,male,BJP,,"MoS, Minority Affairs; also Fisheries, Animal Husbandry & Dairying",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
72,Pabitra Margherita,Shri,male,BJP,,"MoS, External Affairs; also Textiles",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
73,Nimuben Bambhaniya,Smt,female,BJP,,"MoS, Consumer Affairs, Food & Public Distribution",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
74,Raj Bhushan Choudhary,Shri,male,BJP,,"MoS, Jal Shakti",,,,https://en.wikipedia.org/wiki/Third_Modi_ministry,0.80,collected,2026-06-26
75,Syed Abdul Nazeer,Shri,male,,,Governor of Andhra Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
76,N. Chandrababu Naidu,Shri,male,TDP,,Chief Minister of Andhra Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
77,Kaiwalya Trivikram Parnaik,Shri,male,,,Governor of Arunachal Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
78,Pema Khandu,Shri,male,BJP,,Chief Minister of Arunachal Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
79,Lakshman Acharya,Shri,male,,,Governor of Assam,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
80,Himanta Biswa Sarma,Shri,male,BJP,,Chief Minister of Assam,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
81,Arif Mohammad Khan,Shri,male,,,Governor of Bihar,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
82,Nitish Kumar,Shri,male,JD(U),,Chief Minister of Bihar,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
83,Ramen Deka,Shri,male,,,Governor of Chhattisgarh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
84,Vishnu Deo Sai,Shri,male,BJP,,Chief Minister of Chhattisgarh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
85,Ashok Gajapathi Raju,Shri,male,,,Governor of Goa,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
86,Pramod Sawant,Shri,male,BJP,,Chief Minister of Goa,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
87,Acharya Dev Vrat,Shri,male,,,Governor of Gujarat,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
88,Bhupendrabhai Patel,Shri,male,BJP,,Chief Minister of Gujarat,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
89,Ashim Kumar Ghosh,Shri,male,,,Governor of Haryana,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
90,Nayab Singh Saini,Shri,male,BJP,,Chief Minister of Haryana,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
91,Shiv Pratap Shukla,Shri,male,,,Governor of Himachal Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
92,Sukhvinder Singh Sukhu,Shri,male,INC,,Chief Minister of Himachal Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
93,Santosh Kumar Gangwar,Shri,male,,,Governor of Jharkhand,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
94,Hemant Soren,Shri,male,JMM,,Chief Minister of Jharkhand,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
95,Thawar Chand Gehlot,Shri,male,,,Governor of Karnataka,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
96,Siddaramaiah,Shri,male,INC,,Chief Minister of Karnataka,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
97,Rajendra Arlekar,Shri,male,,,Governor of Kerala,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
98,Pinarayi Vijayan,Shri,male,CPI(M),,Chief Minister of Kerala,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
99,Mangubhai Chhaganbhai Patel,Shri,male,,,Governor of Madhya Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
100,Mohan Yadav,Shri,male,BJP,,Chief Minister of Madhya Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
101,Devendra Fadnavis,Shri,male,BJP,,Chief Minister of Maharashtra,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
102,Ajay Kumar Bhalla,Shri,male,,,Governor of Manipur,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
103,Yumnam Khemchand Singh,Shri,male,BJP,,Chief Minister of Manipur,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
104,C. H. Vijayashankar,Shri,male,,,Governor of Meghalaya,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
105,Conrad Sangma,Shri,male,NPP,,Chief Minister of Meghalaya,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
106,V. K. Singh,Shri,male,,,Governor of Mizoram,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
107,Lalduhoma,Shri,male,ZPM,,Chief Minister of Mizoram,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
108,Neiphiu Rio,Shri,male,NPF,,Chief Minister of Nagaland,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
109,Kambhampati Hari Babu,Shri,male,,,Governor of Odisha,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
110,Mohan Charan Majhi,Shri,male,BJP,,Chief Minister of Odisha,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
111,Gulab Chand Kataria,Shri,male,,,Governor of Punjab,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
112,Bhagwant Mann,Shri,male,AAP,,Chief Minister of Punjab,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
113,Haribhau Bagade,Shri,male,,,Governor of Rajasthan,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
114,Bhajan Lal Sharma,Shri,male,BJP,,Chief Minister of Rajasthan,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
115,Om Prakash Mathur,Shri,male,,,Governor of Sikkim,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
116,Prem Singh Tamang,Shri,male,SKM,,Chief Minister of Sikkim,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
117,R. N. Ravi,Shri,male,,,Governor of Tamil Nadu,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
118,M. K. Stalin,Shri,male,DMK,,Chief Minister of Tamil Nadu,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
119,Jishnu Dev Varma,Shri,male,,,Governor of Telangana,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
120,Revanth Reddy,Shri,male,INC,,Chief Minister of Telangana,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
121,N. Indrasena Reddy,Shri,male,,,Governor of Tripura,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
122,Manik Saha,Shri,male,BJP,,Chief Minister of Tripura,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
123,Gurmit Singh,Shri,male,,,Governor of Uttarakhand,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
124,Pushkar Singh Dhami,Shri,male,BJP,,Chief Minister of Uttarakhand,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
125,Anandiben Patel,Smt,female,,,Governor of Uttar Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
126,Yogi Adityanath,Shri,male,BJP,,Chief Minister of Uttar Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
127,C. V. Ananda Bose,Shri,male,,,Governor of West Bengal,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_governors,0.80,collected,2026-06-26
128,Mamata Banerjee,Smt,female,TMC,,Chief Minister of West Bengal,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
129,Rekha Gupta,Smt,female,BJP,,Chief Minister of Delhi (NCT),,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
130,Omar Abdullah,Shri,male,JKNC,,Chief Minister of Jammu and Kashmir,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
131,N. Rangaswamy,Shri,male,AINRC,,Chief Minister of Puducherry,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_chief_ministers,0.80,collected,2026-06-26
132,Vinai Kumar Saxena,Shri,male,,,Lieutenant Governor of Delhi,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_lieutenant_governors_and_administrators,0.80,collected,2026-06-26
133,Manoj Sinha,Shri,male,,,Lieutenant Governor of Jammu and Kashmir,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_lieutenant_governors_and_administrators,0.80,collected,2026-06-26
134,Kuniyil Kailashnathan,Shri,male,,,Lieutenant Governor of Puducherry,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_lieutenant_governors_and_administrators,0.80,collected,2026-06-26
135,Kavinder Gupta,Shri,male,,,Lieutenant Governor of Ladakh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_lieutenant_governors_and_administrators,0.80,collected,2026-06-26
136,Praful Khoda Patel,Shri,male,,,Administrator of Dadra and Nagar Haveli and Daman and Diu,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_lieutenant_governors_and_administrators,0.80,collected,2026-06-26
137,K. Pawan Kalyan,Shri,male,Janasena Party,,Deputy Chief Minister of Andhra Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
138,Chowna Mein,Shri,male,BJP,,Deputy Chief Minister of Arunachal Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
139,Bijendra Prasad Yadav,Shri,male,JD(U),,Deputy Chief Minister of Bihar,,,,https://en.wikipedia.org/wiki/Samrat_Choudhary,0.85,collected,2026-06-26
140,Vijay Kumar Chaudhary,Shri,male,,,Deputy Chief Minister of Bihar,,,,https://en.wikipedia.org/wiki/Samrat_Choudhary,0.85,collected,2026-06-26
141,Arun Sao,Shri,male,BJP,,Deputy Chief Minister of Chhattisgarh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
142,Vijay Sharma,Shri,male,BJP,,Deputy Chief Minister of Chhattisgarh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
143,Harsh Sanghavi,Shri,male,BJP,,Deputy Chief Minister of Gujarat,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
144,Mukesh Agnihotri,Shri,male,INC,,Deputy Chief Minister of Himachal Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
145,Surinder Kumar Choudhary,Shri,male,JKNC,,Deputy Chief Minister of Jammu and Kashmir,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
146,D. K. Shivakumar,Shri,male,INC,,Deputy Chief Minister of Karnataka,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
147,Rajendra Shukla,Shri,male,BJP,,Deputy Chief Minister of Madhya Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
148,Jagdish Devda,Shri,male,BJP,,Deputy Chief Minister of Madhya Pradesh,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
149,Eknath Shinde,Shri,male,Shiv Sena,,Deputy Chief Minister of Maharashtra,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
150,Sunetra Pawar,Smt,female,NCP,,Deputy Chief Minister of Maharashtra,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
151,Nemcha Kipgen,Smt,female,BJP,,Deputy Chief Minister of Manipur,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
152,Losii Dikho,Shri,male,NPF,,Deputy Chief Minister of Manipur,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
153,Prestone Tynsong,Shri,male,NPP,,Deputy Chief Minister of Meghalaya,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
154,Sniawbhalang Dhar,Shri,male,NPP,,Deputy Chief Minister of Meghalaya,,,,https://en.wikipedia.org/wiki/List_of_current_Indian_deputy_chief_ministers,0.80,collected,2026-06-26
